Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"All Secrets Known","Alice In Chains","Black Gives Way To Blue","BW26","Playlist","USVI20900292","3nBvfyca44vrtZM4iKeS9W"
"Far Cry","Rush","Snakes & Arrows","BW26","Playlist","USAT20701464","4oln108lelSadoqEFlwCZi"
"In Fair Light","Big Wreck","Pages","BW26","Playlist","CASA72300091","5zkSXgW05k7cqt1Y320Vqy"
"Diamond Eyes","Deftones","Diamond Eyes","BW26","Playlist","USRE11000101","6nmDEbjMZru5j55HIkX2yZ"
"Sextape","Deftones","Diamond Eyes","BW26","Playlist","USRE11000115","1EryAkZ0VHstC6haIxVBiE"
"Dissident - Remastered","Pearl Jam","Vs.","BW26","Playlist","USSM11100216","1NnUbdEvJigY0ARnoOgDrv"
"Wordless Chorus","My Morning Jacket","Z","BW26","Playlist","USATO0500081","6xAa0kGkTLU22ZyoHOCHgi"
"Judy Staring At The Sun","Catherine Wheel","Happy Days","BW26","Playlist","GBF089500032","6fRLrrBdeLToeH30d2aCfA"
"Separate Ways (Worlds Apart) [2023 Remaster]","Journey","Frontiers (2023 Remaster)","BW26","Playlist","USSM18300106","1pTw2cNrp9L3esxLAvWnN2"
"Woman from Tokyo","Deep Purple","Who Do We Think We Are","BW26","Playlist","USWB19903564","6aqWPEhtxJaPbSabre2fdx"
"Rock 'N' Roll Pest Control","The Young Fresh Fellows","The Fabulous Sounds of the Pacific Northwest","BW26","Playlist","QMFME1555055","3NwKW5qUxLBOx8UXZSJDnu"
"Mony Mony","Billy Idol","Don't Stop EP","BW26","Playlist","USCH38700005","7gIQrP5rRbb0BX8lFEnTwg"
"One in a Million (2023 Remaster)","The Romantics","In Heat (2023 Remaster)","BW26","Playlist","USSM18300250","6Kzi4F77twuPRkNhxonUET"
"Match","The Moondoggies","A Love Sleeps Deep","BW26","Playlist","USHF31810603","1fDxTjieQnUODBAQp99F6i"
"Of All People","Foo Fighters","Of All People","BW26","Playlist","USRW32600002","1jhI5gfOIA2iGOWk6gp1xc"
"It's All Over Now - (Original Single Mono Version)","The Rolling Stones","Singles 1963-1965","BW26","Playlist","USA176410180","7nJ3JRxCAxMZ104jZ4skoJ"
"Uncontrollable Urge","DEVO","Q: Are We Not Men? A: We Are Devo!","BW26","Playlist","USWB10100942","1RG1Pz45nlYNHka7JioyOT"
"She Is Rising","INXS","Elegantly Wasted (Remastered)","BW26","Playlist","GBAMX9700117","1YMovqbou9iLLA4fSzoFYv"
"The Trees","Rush","Hemispheres","BW26","Playlist","USMR17880085","5cHnoalJPx909Umw8EoroV"
"Flaggin a Ride","Divine Fits","A Thing Called Divine Fits","BW26","Playlist","USMRG1245502","5VFh8HV2xvOM70xI97MDPN"
"Like Suicide","Soundgarden","Superunknown (Deluxe Edition)","BW26","Playlist","USAM19400015","0KhYJOx8HLA1ANTSaxU2KH"
"Jellybelly - Remastered 2012","The Smashing Pumpkins","Mellon Collie And The Infinite Sadness (Deluxe Edition)","BW26","Playlist","USVI21200894","6912SIXb1G9ql3quOxeCaa"
"The Wreckage","Silversun Pickups","The Wreckage","BW26","Playlist","QM3UF2500002","4ZZdjo3O1UFMr0Q4nv3Ame"
"These Things Take Time - David Jensen Session 26/06/83","The Smiths","Hatful of Hollow","BW26","Playlist","GBCAD1000135","27BNAWiJgEi0anWjNXMaBJ"
"Forever Man - 1999 Remaster","Eric Clapton","Behind the Sun","BW26","Playlist","USWB19901066","6x7jcl21wMqyt5R2bAxPyP"
"Universal Soldier","Depeche Mode","HELP(2)","BW26","Playlist","GBAZP2500241","7dpPH25jaKKvKDJcYDgF6d"
"Your Love","The Outfield","Super Hits","BW26","Playlist","USSM18500264","5dRQUolXAVX3BbCiIxmSsf"
"Free Fallin'","Tom Petty","Full Moon Fever","BW26","Playlist","USMC18925673","5tVA6TkbaAH9QMITTQRrNv"
"Welcome Back (Theme from Welcome Back, Kotter)","John Sebastian","Welcome Back","BW26","Playlist","USRE10100601","2pS6zWWQCpO0IVEBIbzJh8"
"Crystal","New Order","Get Ready","BW26","Playlist","GBAAP0100417","2M4PVaTJGjXV91X8HAVQEx"
"Young Fresh Fellows Theme","The Young Fresh Fellows","The Fabulous Sounds of the Pacific Northwest","BW26","Playlist","QMFME1555069","2N3aW62yK4jt5xPxoMHI9X"
"Play for Today - 2006 Remaster","The Cure","Seventeen Seconds","BW26","Playlist","USEE10500783","1PnQ1sK77wMXagGDhwfBdY"
"Malibu","Hole","Celebrity Skin","BW26","Playlist","USGF19816406","5bVOX6eyHsML2sB4aMlZEi"
"Harborcoat - Live At The Olympia Dublin, Ireland / 2007","R.E.M.","Complete Rarities 1988-2011","BW26","Playlist","USWB10902336","0O4KNFZ83h262KdYLJvP9i"
"I Travel","Simple Minds","Celebration","BW26","Playlist","GBAAA8000264","3GRyWgNPX5rBdh0VQctl5P"
"Chosen Time - 2015 Remaster","New Order","Movement","BW26","Playlist","GBAAP1500374","3cNQLJG59xRFGT8cb8KwSi"
"His Latest Flame / Rusholme Ruffians - Live in London, 1986; Medley","The Smiths","Rank","BW26","Playlist","GBCAD1000150","4gFqeJzKVCR2rDec2nGuZw"
"(Marie's The Name) His Latest Flame","Elvis Presley","Elvis 30 #1 Hits","BW26","Playlist","USRC10200342","4qbLOU1T7xgTH87eUSkvJ1"
"No Rain, No Flowers","The Black Keys","No Rain, No Flowers","BW26","Playlist","USWB12501241","2aCRmuNL8RaBi8h7BbmTsT"
"Life And How To Live It - 2010 Remaster","R.E.M.","Fables Of The Reconstruction (Deluxe Edition / 2010 Remaster)","BW26","Playlist","USCA21001232","1yB6adiY4n7DHjQPsM5Vgi"
"Vicious","Lou Reed","Transformer","BW26","Playlist","USRC17201944","4A48NL57P16zSRaq3yoYry"
"The Ledge - 2008 Remaster","The Replacements","Pleased to Meet Me (Expanded)","BW26","Playlist","USRE10800745","0NPGjEcXVFmpi6k8kWXYxJ"
"Magdalena","The Smashing Pumpkins","Zodeon at Crystal Hall","BW26","Playlist","QZYHY2600002","2Z6T171uzbiX0UHtHgWifP"
"Sin City","AC/DC","Powerage","BW26","Playlist","AUAP07800009","3UQQ7g6J8fiMB7oldQzBoq"
"Oh Well, Pt. 1 - 2013 Remaster","Fleetwood Mac","Then Play On (2013 Remaster; Expanded Edition)","BW26","Playlist","USRE11300176","0QdagWnOd3GzMCBu57efgp"
"The Boy","The Smashing Pumpkins","Aeroplane Flies High (Deluxe Edition)","BW26","Playlist","USVI29601072","2Yw5jfEaQFHoUFhzXUGkgV"
