Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3nBvfyca44vrtZM4iKeS9W,"All Secrets Known","Black Gives Way To Blue","Alice In Chains",2009-09-29,282520,50,false,rwinj,2026-06-01T06:22:59Z,"grunge,post-grunge","Craft Recordings",0.384,0.82,1,-5.676,1,0.0464,0.00000461,0.0291,0.137,0.313,112.04,3
spotify:track:4oln108lelSadoqEFlwCZi,"Far Cry","Snakes & Arrows","Rush",2007-04-27,318546,47,false,rwinj,2026-06-01T06:35:10Z,"progressive rock,classic rock,hard rock,rock,aor","Atlantic Records",0.546,0.919,9,-4.244,1,0.0314,0.00148,0.00000203,0.665,0.704,124.989,4
spotify:track:5zkSXgW05k7cqt1Y320Vqy,"In Fair Light","Pages","Big Wreck",2023-11-24,474357,18,false,rwinj,2026-06-01T07:01:22Z,"post-grunge","Sonic Unyon Records",0.642,0.834,0,-6.556,0,0.0445,0.0725,0.0533,0.111,0.232,109.981,4
spotify:track:6nmDEbjMZru5j55HIkX2yZ,"Diamond Eyes","Diamond Eyes","Deftones",2010-04-30,188266,73,false,rwinj,2026-06-01T07:12:56Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Reprise",0.331,0.845,8,-4.876,1,0.0551,0.000109,0.000212,0.0758,0.468,153.484,3
spotify:track:1EryAkZ0VHstC6haIxVBiE,"Sextape","Diamond Eyes","Deftones",2010-04-30,241533,82,false,rwinj,2026-06-01T07:15:28Z,"nu metal,alternative metal,rap metal,rock,shoegaze","Reprise",0.367,0.634,5,-6.475,1,0.027,0.000824,0.0759,0.116,0.0964,89.981,4
spotify:track:1NnUbdEvJigY0ARnoOgDrv,"Dissident - Remastered","Vs.","Pearl Jam",1993-10-19,214992,61,false,rwinj,2026-06-01T10:47:10Z,"grunge,rock,post-grunge","Epic/Legacy",0.267,0.864,0,-5.127,1,0.0481,0.0031,0,0.116,0.531,146.698,4
spotify:track:6xAa0kGkTLU22ZyoHOCHgi,"Wordless Chorus","Z","My Morning Jacket",2005-10-04,252760,56,false,rwinj,2026-06-10T15:54:30Z,"jam band,alt country,roots rock","ATO Records",0.824,0.377,2,-9.222,1,0.0436,0.107,0.604,0.11,0.779,116.342,4
spotify:track:6fRLrrBdeLToeH30d2aCfA,"Judy Staring At The Sun","Happy Days","Catherine Wheel;Tanya Donelly",1995-12-31,236893,36,false,rwinj,2026-06-02T18:59:41Z,"shoegaze,dream pop,jangle pop","UMC (Universal Music Catalogue)",0.485,0.866,9,-6.592,1,0.0431,0.000801,0.00000663,0.119,0.417,111.867,4
spotify:track:1pTw2cNrp9L3esxLAvWnN2,"Separate Ways (Worlds Apart) [2023 Remaster]","Frontiers (2023 Remaster)","Journey",1983-02-01,323453,79,false,rwinj,2026-06-04T16:42:14Z,"aor,classic rock","Columbia",0.469,0.96,4,-4.809,0,0.0629,0.141,0.00000181,0.334,0.37,131.707,4
spotify:track:6aqWPEhtxJaPbSabre2fdx,"Woman from Tokyo","Who Do We Think We Are","Deep Purple",1973-01-13,348640,47,false,rwinj,2026-06-04T16:51:16Z,"hard rock,classic rock,rock","Rhino/Warner Records",0.583,0.543,9,-13.045,1,0.0352,0.14,0.00152,0.115,0.421,126.994,4
spotify:track:3NwKW5qUxLBOx8UXZSJDnu,"Rock 'N' Roll Pest Control","The Fabulous Sounds of the Pacific Northwest","The Young Fresh Fellows",1984-01-01,171040,15,false,rwinj,2026-06-04T16:51:29Z,"power pop,jangle pop","Popllama Records",0.599,0.769,11,-10.855,1,0.0544,0.282,0.0428,0.456,0.89,89.364,4
spotify:track:7gIQrP5rRbb0BX8lFEnTwg,"Mony Mony","Don't Stop EP","Billy Idol",1981-10-24,302626,70,false,rwinj,2026-06-04T16:51:49Z,"","CAPITOL CATALOG MKT (C92)",0.769,0.712,1,-6.248,1,0.0564,0.0131,0.00000555,0.0906,0.498,135.163,4
spotify:track:6Kzi4F77twuPRkNhxonUET,"One in a Million (2023 Remaster)","In Heat (2023 Remaster)","The Romantics",1983-02-14,222125,41,false,rwinj,2026-06-04T16:52:20Z,"power pop","Legacy Recordings",0.627,0.863,9,-6.381,1,0.0452,0.000629,0.0000154,0.316,0.965,133.193,4
spotify:track:1fDxTjieQnUODBAQp99F6i,"Match","A Love Sleeps Deep","The Moondoggies",2018-04-13,245429,7,false,rwinj,2026-06-04T17:01:17Z,"alt country","Hardly Art",0.252,0.814,2,-7.551,1,0.0373,0.0232,0.307,0.137,0.407,81.218,4
spotify:track:1jhI5gfOIA2iGOWk6gp1xc,"Of All People","Of All People","Foo Fighters",2026-04-10,154293,51,true,rwinj,2026-06-04T17:01:29Z,"rock,post-grunge,alternative rock,grunge","RCA Records Label",0.361,0.987,2,-1.3,1,0.0884,0.0000253,0,0.419,0.437,87.18,4
spotify:track:7nJ3JRxCAxMZ104jZ4skoJ,"It's All Over Now - (Original Single Mono Version)","Singles 1963-1965","The Rolling Stones",2004-04-26,207293,37,false,rwinj,2026-06-04T17:01:38Z,"classic rock,rock","ABKCO Music and Records, Inc.",0.604,0.848,0,-6.682,1,0.0359,0.106,0.00000363,0.334,0.772,98.23,4
spotify:track:1RG1Pz45nlYNHka7JioyOT,"Uncontrollable Urge","Q: Are We Not Men? A: We Are Devo!","DEVO",1978,191266,56,false,rwinj,2026-06-04T17:11:47Z,"new wave,post-punk,synthpop","Warner Records",0.571,0.858,2,-7.066,1,0.0326,0.0551,0.665,0.0943,0.716,92.523,3
spotify:track:1YMovqbou9iLLA4fSzoFYv,"She Is Rising","Elegantly Wasted (Remastered)","INXS",1997,324866,21,false,rwinj,2026-06-04T17:18:23Z,"","Universal Music Australia Pty. Ltd.",0.542,0.839,7,-5.184,1,0.0305,0.00176,0,0.106,0.409,92.001,4
spotify:track:5cHnoalJPx909Umw8EoroV,"The Trees","Hemispheres","Rush",1978-10-29,282506,55,false,rwinj,2026-06-04T19:04:40Z,"progressive rock,classic rock,hard rock,rock,aor","Island Mercury",0.445,0.721,2,-10.048,1,0.0392,0.175,0.00404,0.186,0.328,135.742,5
spotify:track:5VFh8HV2xvOM70xI97MDPN,"Flaggin a Ride","A Thing Called Divine Fits","Divine Fits",2012-08-28,227422,33,false,rwinj,2026-06-04T19:10:27Z,"","Merge Records",0.93,0.618,0,-6.852,1,0.0343,0.362,0.0191,0.16,0.722,124.991,4
spotify:track:0KhYJOx8HLA1ANTSaxU2KH,"Like Suicide","Superunknown (Deluxe Edition)","Soundgarden",1994-03-09,423973,40,false,rwinj,2026-06-04T19:23:55Z,"grunge,post-grunge,hard rock","Geffen",0.416,0.566,7,-6.342,1,0.0266,0.00000877,0.373,0.182,0.232,95.455,4
spotify:track:6912SIXb1G9ql3quOxeCaa,"Jellybelly - Remastered 2012","Mellon Collie And The Infinite Sadness (Deluxe Edition)","The Smashing Pumpkins",1995,181533,50,false,rwinj,2026-06-04T19:28:02Z,"alternative rock,rock","Virgin Records",0.209,0.835,1,-8.158,1,0.0569,0.0000022,0.873,0.191,0.506,117.003,4
spotify:track:4ZZdjo3O1UFMr0Q4nv3Ame,"The Wreckage","The Wreckage","Silversun Pickups",2025-11-06,268378,31,false,rwinj,2026-06-04T20:48:18Z,"","New Machine Recordings",0.56,0.719,7,-7.658,1,0.0283,0.000073,0.593,0.0876,0.0654,113.013,4
spotify:track:27BNAWiJgEi0anWjNXMaBJ,"These Things Take Time - David Jensen Session 26/06/83","Hatful of Hollow","The Smiths",1984,153973,50,false,rwinj,2026-06-04T20:55:24Z,"new wave,madchester,jangle pop","WM UK",0.362,0.99,11,-4.893,0,0.289,0.0107,0.214,0.146,0.142,151.636,4
spotify:track:6x7jcl21wMqyt5R2bAxPyP,"Forever Man - 1999 Remaster","Behind the Sun","Eric Clapton",1985-03-11,191560,53,false,rwinj,2026-06-04T20:55:33Z,"blues,blues rock,classic rock","Bushbranch / Surfdog Records",0.649,0.9,2,-6.018,0,0.0427,0.207,0.0105,0.166,0.799,111.142,4
spotify:track:7dpPH25jaKKvKDJcYDgF6d,"Universal Soldier","HELP(2)","Depeche Mode;War Child Records",2026-03-06,200689,50,false,rwinj,2026-06-04T20:55:44Z,"new wave,synthpop,darkwave","War Child Records",0.572,0.769,6,-6.666,0,0.0383,0.00285,0.000381,0.114,0.338,97.013,4
spotify:track:5dRQUolXAVX3BbCiIxmSsf,"Your Love","Super Hits","The Outfield",1998-07-03,221840,80,false,rwinj,2026-06-04T20:58:15Z,"","Columbia/Legacy",0.555,0.757,1,-7.868,0,0.0601,0.103,0.00000116,0.0631,0.582,129.607,4
spotify:track:5tVA6TkbaAH9QMITTQRrNv,"Free Fallin'","Full Moon Fever","Tom Petty",1989-01-01,256000,83,false,rwinj,2026-06-04T20:58:20Z,"classic rock","Tom Petty P&D",0.623,0.449,5,-13.333,1,0.0253,0.212,0,0.0613,0.573,84.383,4
spotify:track:2pS6zWWQCpO0IVEBIbzJh8,"Welcome Back (Theme from Welcome Back, Kotter)","Welcome Back","John Sebastian",1976-01-01,170893,47,false,rwinj,2026-06-04T20:58:27Z,"yacht rock","Rhino/Warner Records",0.745,0.373,4,-13.002,0,0.0325,0.412,0.0000888,0.158,0.904,111.297,4
spotify:track:2M4PVaTJGjXV91X8HAVQEx,"Crystal","Get Ready","New Order",2001-06-18,410026,46,false,rwinj,2026-06-04T21:03:55Z,"new wave,synthpop,post-punk,madchester","Rhino/Warner Records",0.517,0.893,6,-5.028,1,0.0308,0.000728,0.495,0.0744,0.248,135.862,4
spotify:track:2N3aW62yK4jt5xPxoMHI9X,"Young Fresh Fellows Theme","The Fabulous Sounds of the Pacific Northwest","The Young Fresh Fellows",1984-01-01,172666,12,false,rwinj,2026-06-04T21:04:09Z,"power pop,jangle pop","Popllama Records",0.525,0.84,6,-12.003,0,0.107,0.163,0.0000138,0.227,0.388,142.698,4
spotify:track:1PnQ1sK77wMXagGDhwfBdY,"Play for Today - 2006 Remaster","Seventeen Seconds","The Cure",1980-04-18,220640,52,false,rwinj,2026-06-04T21:04:19Z,"new wave,post-punk,gothic rock,darkwave","Rhino/Elektra",0.676,0.839,11,-8.775,0,0.0752,0.0364,0.0164,0.1,0.855,80.417,4
spotify:track:5bVOX6eyHsML2sB4aMlZEi,"Malibu","Celebrity Skin","Hole",1998-01-01,230040,66,false,rwinj,2026-06-04T21:06:22Z,"riot grrrl,grunge","DGC",0.528,0.904,2,-5.854,1,0.0343,0.000833,0,0.174,0.678,122.372,4
spotify:track:0O4KNFZ83h262KdYLJvP9i,"Harborcoat - Live At The Olympia Dublin, Ireland / 2007","Complete Rarities 1988-2011","R.E.M.",2014-05-16,253373,6,false,rwinj,2026-06-04T21:06:31Z,"jangle pop,alternative rock,rock","Concord Records",0.437,0.87,4,-5.69,1,0.0369,0.0248,0.00416,0.512,0.64,80,4
spotify:track:3GRyWgNPX5rBdh0VQctl5P,"I Travel","Celebration","Simple Minds",1982-01-01,242000,34,false,rwinj,2026-06-04T21:11:45Z,"new wave","Virgin Records",0.573,0.888,0,-10.966,1,0.052,0.0331,0.311,0.182,0.964,127.033,4
spotify:track:3cNQLJG59xRFGT8cb8KwSi,"Chosen Time - 2015 Remaster","Movement","New Order",1981-01-13,248306,38,false,rwinj,2026-06-04T21:14:58Z,"new wave,synthpop,post-punk,madchester","Rhino",0.348,0.848,4,-9.331,0,0.0514,0.00126,0.676,0.663,0.533,160.222,4
spotify:track:4gFqeJzKVCR2rDec2nGuZw,"His Latest Flame / Rusholme Ruffians - Live in London, 1986; Medley","Rank","The Smiths",1988-09-05,235960,38,false,rwinj,2026-06-04T21:15:32Z,"new wave,madchester,jangle pop","WM UK",0.393,0.948,2,-6.975,1,0.0522,0.00726,0.0722,0.849,0.669,121.74,4
spotify:track:4qbLOU1T7xgTH87eUSkvJ1,"(Marie's The Name) His Latest Flame","Elvis 30 #1 Hits","Elvis Presley",2002-09-24,127093,56,false,rwinj,2026-06-04T21:15:55Z,"rockabilly,rock and roll","RCA Records Label",0.661,0.917,4,-6.329,0,0.0375,0.565,0.00202,0.134,0.893,105.289,4
spotify:track:2aCRmuNL8RaBi8h7BbmTsT,"No Rain, No Flowers","No Rain, No Flowers","The Black Keys",2025-05-16,196774,44,false,rwinj,2026-06-04T21:21:35Z,"blues rock,garage rock,modern blues,rock","Easy Eye Sound/Warner Records",0.62,0.859,0,-4.877,1,0.03,0.00232,0.114,0.214,0.625,110.014,4
spotify:track:1yB6adiY4n7DHjQPsM5Vgi,"Life And How To Live It - 2010 Remaster","Fables Of The Reconstruction (Deluxe Edition / 2010 Remaster)","R.E.M.",1985-06-10,247800,30,false,rwinj,2026-06-04T21:21:50Z,"jangle pop,alternative rock,rock","Capitol Records",0.347,0.939,7,-4.779,1,0.104,0.352,0.000047,0.0804,0.554,169.663,4
spotify:track:4A48NL57P16zSRaq3yoYry,"Vicious","Transformer","Lou Reed",1972-12-01,179359,55,false,rwinj,2026-06-04T21:21:56Z,"glam rock,proto-punk,art rock","RCA/Legacy",0.605,0.846,2,-7.755,1,0.0337,0.0006,0.886,0.0526,0.952,124.247,4
spotify:track:0NPGjEcXVFmpi6k8kWXYxJ,"The Ledge - 2008 Remaster","Pleased to Meet Me (Expanded)","The Replacements",1987,247480,34,false,rwinj,2026-06-04T21:26:53Z,"power pop,jangle pop","Rhino/Warner Records",0.408,0.823,0,-9.046,1,0.0347,0.000794,0.0000875,0.127,0.569,156.408,4
spotify:track:2Z6T171uzbiX0UHtHgWifP,"Magdalena","Zodeon at Crystal Hall","The Smashing Pumpkins",2026-05-15,202392,50,false,rwinj,2026-06-04T21:26:58Z,"alternative rock,rock","Martha's Music",0.517,0.957,6,-4.749,0,0.0596,0.000209,0.278,0.107,0.708,77.011,4
spotify:track:3UQQ7g6J8fiMB7oldQzBoq,"Sin City","Powerage","AC/DC",1978-05-05,285344,62,false,rwinj,2026-06-04T21:30:15Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.543,0.757,9,-4.986,1,0.0497,0.00197,0.626,0.103,0.22,127.648,4
spotify:track:0QdagWnOd3GzMCBu57efgp,"Oh Well, Pt. 1 - 2013 Remaster","Then Play On (2013 Remaster; Expanded Edition)","Fleetwood Mac",1969-09-19,202400,59,false,rwinj,2026-06-04T21:35:52Z,"yacht rock,classic rock,soft rock","Rhino/Warner Records",0.471,0.594,0,-10.463,1,0.141,0.201,0.0949,0.145,0.215,103.431,4
spotify:track:2Yw5jfEaQFHoUFhzXUGkgV,"The Boy","Aeroplane Flies High (Deluxe Edition)","The Smashing Pumpkins",2013-01-01,183240,67,false,rwinj,2026-06-04T21:36:04Z,"alternative rock,rock","SMASHING PUMPKINS - DEAL #1 DIGITAL",0.661,0.694,6,-5.871,1,0.0307,0.0012,0.000825,0.127,0.635,131.158,4
spotify:track:7o3wwWcDjjzY4T5YJdQ7Al,"Walk Away","First and Last and Always","Sisters of Mercy",1985-01-01,204186,46,false,rwinj,2026-06-04T21:48:53Z,"gothic rock,darkwave,post-punk,deathrock,cold wave,new wave,gothic metal","WM UK",0.542,0.96,9,-10.239,0,0.0446,0.00361,0.796,0.109,0.592,136.403,4
spotify:track:3k3NWokhRRkEPhCzPmV8TW,"Ojitos Lindos","Un Verano Sin Ti","Bad Bunny;Bomba Estéreo",2022-05-06,258298,88,false,rwinj,2026-06-04T21:49:00Z,"reggaeton,trap latino,latin,urbano latino,latin alternative,electrocumbia","Rimas Entertainment LLC",0.647,0.686,3,-5.745,0,0.0413,0.08,0.00000134,0.528,0.268,79.928,4
spotify:track:6BT7qiDY4A5tOyklohjQuW,"Monkey Gone to Heaven","Doolittle","Pixies",1989-04-17,175333,66,false,rwinj,2026-06-04T21:49:09Z,"alternative rock","4AD",0.654,0.39,6,-10.638,0,0.0307,0.00418,0.0069,0.271,0.566,116.572,4
spotify:track:4yqtwO7MQIIXqoiRBPHAgR,"Money for Nothing","Brothers in Arms","Dire Straits",1985-05-13,506400,74,false,rwinj,2026-06-04T22:02:06Z,"classic rock","Warner Records",0.667,0.655,2,-9.339,0,0.0367,0.0491,0.000894,0.0641,0.657,134.212,4
spotify:track:0Vx453PGDgPnTCJuVMQXXY,"Life On a Chain","musicforthemorningafter","Pete Yorn",2001-03-27,226646,47,false,rwinj,2026-06-04T22:09:02Z,"","Columbia/Legacy",0.456,0.837,7,-7.681,1,0.0566,0.112,0.017,0.396,0.357,147.825,4
spotify:track:7eilLreA3JyO5IkSEYQTBt,"That Is Why","Bellybutton","Jellyfish",1990,256839,32,false,rwinj,2026-06-04T22:15:45Z,"power pop,jangle pop","Virgin Records",0.66,0.462,9,-11.213,1,0.0269,0.25,0.0000372,0.299,0.57,92.564,4
spotify:track:2PpNgmrS9mAyrkRAwn6YPq,"Rainbow in the Dark","Holy Diver","Dio",1983,256933,66,false,rwinj,2026-06-04T22:21:41Z,"heavy metal,metal,hard rock,glam metal","Rhino/Warner Records",0.512,0.947,9,-5.659,0,0.0401,0.000692,0.114,0.0283,0.612,117.461,4
spotify:track:2erZfK4jHjgPfYSRZNMoqj,"You've Got My Number (Why Don't You Use It!)","You've Got My Number (Why Don't You Use It!)","The Undertones",1979-10-09,160093,29,false,rwinj,2026-06-04T22:34:42Z,"power pop,punk,proto-punk,new wave","BMG Rights Management (UK) Ltd.",0.457,0.751,4,-8.627,1,0.0379,0.00000748,0.247,0.223,0.874,151.197,4
spotify:track:4K2obiFa8R14tMFYbHxP7M,"Tear It All Away - 2002 Remastered","Hindsight 1980-1987","The Church",1987-11-01,260433,27,false,rwinj,2026-06-05T18:43:45Z,"jangle pop,new wave,post-punk,neo-psychedelic,dream pop","EMI Recorded Music Australia Pty Ltd",0.448,0.732,7,-7.704,1,0.0374,0.00895,0.000265,0.0643,0.371,133.433,4
spotify:track:29prelKKU9c4PDxNe4sQ4L,"Constant In Opal - 2001 Digital Remaster","Sing-Songs // Remote Luxury // Persia","The Church",2001-11-06,208573,27,false,rwinj,2026-06-05T18:44:00Z,"jangle pop,new wave,post-punk,neo-psychedelic,dream pop","EMI Music Australia",0.492,0.907,4,-5.37,0,0.0413,0.00883,0.000342,0.0774,0.86,153.065,4
spotify:track:0HEhO8dMu5VndVhGmc9dNu,"One Day - 2002 Digital Remaster","Seance","The Church",1983-05,277896,27,false,rwinj,2026-06-05T18:48:51Z,"jangle pop,new wave,post-punk,neo-psychedelic,dream pop","EMI Music Australia",0.423,0.96,2,-6.829,1,0.27,0.101,0.000138,0.084,0.417,158.627,4
spotify:track:4xkOaSrkexMciUUogZKVTS,"Till I Collapse","The Eminem Show","Eminem;Nate Dogg",2002-05-26,297786,87,true,rwinj,2026-06-05T22:16:55Z,"rap,hip hop,g-funk,west coast hip hop,old school hip hop","Eminem Catalog PS",0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,4
spotify:track:7jQD3oqlzWzs2ZwKoeTvVX,"Save It for Later - 2012 Remaster","Special Beat Service (Expanded) [2012 Remaster]","The English Beat",1982-10-01,213946,61,false,rwinj,2026-06-08T17:02:13Z,"ska,new wave","Rhino",0.625,0.696,2,-11.091,1,0.0281,0.116,0.002,0.396,0.788,129.559,4
spotify:track:60QLLec3yKDwloXCyummPy,"She's Electric - Remastered","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","Oasis",1995,220920,69,false,rwinj,2026-06-07T15:41:34Z,"britpop,madchester","Big Brother Recordings Ltd",0.484,0.905,9,-3.506,1,0.0481,0.146,0.00000113,0.24,0.486,125.414,4
spotify:track:7gMETwfAij1yUKdWjx7Pon,"I Want You Back - Remaster 2005","Stoneage Romeos","Hoodoo Gurus",1984-07-16,190653,45,false,rwinj,2026-06-07T17:23:51Z,"surf rock,power pop,jangle pop","Universal Music Australia (Distribution)",0.412,0.943,2,-2.877,1,0.0343,0.00118,0,0.0782,0.511,90.856,4
spotify:track:5ZfHurrVjbHI9ZrtfgzK5x,"Hereafter (Way After)","Physical Thrills","Silversun Pickups",2022-08-19,214304,30,false,rwinj,2026-06-07T17:29:38Z,"","New Machine Recordings",0.685,0.863,9,-6.945,0,0.0312,0.00111,0.0368,0.0954,0.873,136.008,4
spotify:track:0TBMx8wWJkwSEVSOJUn21e,"Lonely Ol' Night","Scarecrow","John Mellencamp",1985,225173,55,false,rwinj,2026-06-07T19:53:11Z,"classic rock","John Mellencamp 2023 (Island)",0.634,0.886,9,-3.988,1,0.0329,0.00453,0.00892,0.0397,0.756,126.558,4
spotify:track:6u0x5ad9ewHvs3z6u9Oe3c,"Under Cover of Darkness","Angles","The Strokes",2011-03-21,235546,73,false,rwinj,2026-06-07T20:56:33Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.35,0.775,11,-3.364,1,0.054,0.00433,0.283,0.0676,0.588,199.866,4
spotify:track:5En30JdLDDNbatT0hOfBQs,"Resurrection Joe","Resurrection Joe","The Cult",1984-12-14,260972,19,false,rwinj,2026-06-08T17:13:00Z,"hard rock,glam metal,gothic rock","Beggars Banquet",0.391,0.872,9,-12.318,1,0.0478,0.00342,0.707,0.359,0.612,122.486,4
spotify:track:3c4qTWBG92uSqz8oCftVGl,"Comfortably Numb - Live from the Luck and Strange Concerts","The Luck and Strange Concerts","David Gilmour",2025-10-17,532906,42,false,rwinj,2026-06-08T17:20:29Z,"progressive rock","Legacy Recordings",0.219,0.698,11,-7.292,0,0.0452,0.017,0.111,0.961,0.407,60.245,4
spotify:track:5Q7NEt1PcVuTBBMz8XmrNZ,"Invisible Sun","Why Me? Why Not. (Deluxe Edition)","Liam Gallagher",2019-09-20,215171,36,false,rwinj,2026-06-08T17:22:55Z,"britpop,madchester","Warner Records",0.441,0.932,2,-3.739,1,0.0643,0.0000299,0.000144,0.181,0.471,89.995,4
