Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3UBItNVbFQiVC5hBQlBvnr,"Your Woman","Women in Technology","White Town",1997-02-24,259893,75,false,rwinj,2024-07-31T17:38:24Z,"","Echo",0.815,0.605,5,-9.118,0,0.0368,0.033,0.684,0.114,0.795,102.642,4
spotify:track:26UgQ719aQ39QAHytxPuVJ,"The Globe","The Globe","Big Audio Dynamite",1991-07-16,364640,44,false,rwinj,2024-07-31T18:03:05Z,"new wave,alternative dance","Columbia",0.917,0.603,2,-9.541,1,0.13,0.172,0,0.0489,0.696,113.951,4
spotify:track:7vRKk4pKDF8I6hqTw6YGj5,"Biafra","For a Fistful of Dollars","Derrick Harriott,The Crystalites",2013-02-06,146893,30,false,rwinj,2024-08-01T04:26:50Z,"rocksteady,lovers rock,reggae,ska,roots reggae,dub","Crystal Records",0.667,0.485,7,-12.765,1,0.0427,0.291,0.803,0.0954,0.784,88.826,4
spotify:track:0yoPmoBc2sRaxndGzhJb8y,"Doctor Worm","Severe Tire Damage","They Might Be Giants",1998-08-11,181533,40,false,rwinj,2024-08-03T15:21:33Z,"","Idlewild Recordings",0.531,0.633,6,-5.94,1,0.0316,0.0691,0,0.0828,0.727,161.672,4
spotify:track:48ZUwXrEOhaXLCxvmRYhZv,"Don't Sweat The Technique","Don't Sweat The Technique","Eric B. & Rakim",1992-06-23,262800,63,false,rwinj,2024-08-03T15:27:35Z,"old school hip hop,east coast hip hop,hip hop","Geffen*",0.737,0.89,4,-8.443,1,0.158,0.00556,0.00171,0.0801,0.809,105.848,4
spotify:track:6QrFV5Z2K5kvSHPzM3vjI3,"The Ick","The Ick","Panic Shack",2022-03-08,144128,49,false,rwinj,2024-08-03T15:29:31Z,"riot grrrl","Brace Yourself Records",0.401,0.821,9,-6.079,0,0.0862,0.00137,0.000323,0.22,0.645,89.186,4
spotify:track:2yL1xzB2RMPjqnHr3coJ9D,"All Out Attack","All Out Attack","Johnny Marr,Johnny Marr + The Healers",2024-07-17,282813,14,false,rwinj,2024-08-03T15:32:05Z,"","BMG Rights Management (UK) Ltd.",0.52,0.601,7,-9.195,1,0.0379,0.158,0.00471,0.0835,0.141,126.242,4
spotify:track:7MH7TkjQ4RA1vG454dciw0,"That's Entertainment","Sound Affects","The Jam",1980-11-28,212786,62,false,rwinj,2024-08-03T15:32:50Z,"punk,new wave,britpop,power pop","Polydor Records",0.567,0.653,0,-11.524,0,0.0336,0.211,0.000489,0.0639,0.78,142.218,4
spotify:track:1k2NivgsLlf1jgn13QqEcd,"I'd Do Anything For Love (But I Won't Do That)","Bat Out Of Hell II: Back Into Hell","Meat Loaf",1993-01-01,718600,47,false,rwinj,2024-08-03T15:35:05Z,"","Geffen*",0.366,0.561,2,-10.383,1,0.0857,0.465,0.00000428,0.14,0.363,150.425,4
spotify:track:4gAU0cHQJFxj1n2ZDiEIzG,"Step On - 2007 Remaster","Pills 'N' Thrills And Bellyaches (Collector's Edition)","Happy Mondays",1990-01-01,318506,60,false,rwinj,2024-08-03T15:36:58Z,"madchester,britpop,alternative dance","London Music Stream",0.595,0.889,7,-7.163,1,0.0332,0.0000112,0.551,0.118,0.45,105.153,4
spotify:track:18blBNZqVS13VVEI1VgTQ1,"Stayin' Alive - 12 Mix","Greatest Hits","Happy Mondays",1999-01-01,328186,26,false,rwinj,2024-08-03T15:39:51Z,"madchester,britpop,alternative dance","London Music Stream",0.489,0.868,5,-7.477,1,0.0429,0.00963,0.0115,0.135,0.476,103.965,4
spotify:track:1gAbNhSjDgQEVg8g18mxSZ,"Hallelujah - Club Mix","Hallelujah","Happy Mondays,Andrew Weatherall,Paul Oakenfold",1993-01-01,389493,48,false,rwinj,2024-08-03T15:41:54Z,"madchester,britpop,alternative dance,space rock,trance","London Music Stream",0.62,0.908,5,-6.773,1,0.0349,0.00315,0.19,0.417,0.575,98.009,4
spotify:track:2Ywft2Thbf7mPyoD2ntadi,"Suspicious Minds","Fine Young Cannibals","Fine Young Cannibals",1985-01-01,237466,60,false,rwinj,2024-08-03T15:45:19Z,"","London Music Stream",0.397,0.949,7,-4.741,1,0.12,0.0575,0.000388,0.215,0.589,129.368,4
spotify:track:64DpBZj4IlDFzCwxTq7azl,"Holland 1945","In the Aeroplane Over the Sea","Neutral Milk Hotel",1998-02-20,192533,60,false,rwinj,2024-08-03T15:46:11Z,"anti-folk,folk punk","Merge Records",0.0621,0.887,7,-4.305,1,0.0632,0.0399,0.000156,0.619,0.48,198.441,4
spotify:track:0lDoG5fQ9cmpvpenwR7Jln,"Incinerate","Rather Ripped","Sonic Youth",2006-01-01,295813,56,false,rwinj,2024-08-03T15:47:37Z,"noise rock,grunge,alternative rock,post-punk,shoegaze","Geffen",0.446,0.866,8,-8.016,1,0.0342,0.0794,0.543,0.137,0.455,152.172,4
spotify:track:2RUhtNBh43RtSg0WBPPq3m,"Naive","Inside In / Inside Out","The Kooks",2006-01-01,203506,67,false,rwinj,2024-08-03T15:47:56Z,"indie,indie rock","Virgin Records",0.547,0.816,8,-6.165,0,0.0624,0.0688,0,0.127,0.722,102.765,4
spotify:track:7gUMShP1l20tC0xf17Zplk,"Ride Like the Wind","Christopher Cross","Christopher Cross",1979,275506,68,false,rwinj,2024-08-03T15:51:41Z,"yacht rock,soft rock","Rhino/Warner Records",0.669,0.707,0,-13.66,0,0.0478,0.347,0.000716,0.0997,0.806,124.335,4
spotify:track:5IX4TbIR5mMHGE4wiWwKW0,"One","...And Justice For All","Metallica",1988-08-25,447440,43,false,rwinj,2024-08-30T19:36:35Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.437,0.695,7,-9.447,1,0.0617,0.00111,0.0857,0.124,0.413,102.178,3
spotify:track:1aXFBWnnPFRKUN7vuIA5h0,"Turn The Page","Garage Inc.","Metallica",1998-01-01,366466,69,false,rwinj,2024-08-30T22:09:57Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.426,0.813,8,-3.963,1,0.0318,0.0000194,0.022,0.0937,0.228,149.013,4
spotify:track:6RbC38oDCIXD8V2AOU1Tjr,"The Memory Remains","Reload","Metallica,Marianne Faithfull",1997-01-01,279173,68,false,rwinj,2024-08-30T22:20:28Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.435,0.901,10,-3.694,0,0.0429,0.000303,0.0072,0.185,0.547,143.646,4
spotify:track:0LAcM6I7ijW4VVW0aytl1t,"One (Remastered)","...And Justice for All (Remastered Deluxe Box Set)","Metallica",1988-09-07,446145,76,false,rwinj,2024-09-01T19:12:32Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings",0.438,0.687,7,-9.15,1,0.0619,0.000668,0.0801,0.42,0.426,103.01,3
spotify:track:13Uvqll8OQDjw3wDweIK9y,"The Day That Never Comes","Death Magnetic","Metallica",2008-01-01,476266,69,false,rwinj,2024-09-01T20:56:30Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.334,0.982,4,-2.293,0,0.0619,0.0000911,0.149,0.106,0.501,126.883,4
spotify:track:5ziTj3HGli0fqGevKgThlE,"Victoria","The Frenz Experiment","The Fall",1988-02-29,165933,42,false,rwinj,2024-09-05T15:33:57Z,"post-punk,madchester,new wave,deathrock,proto-punk,cold wave","Beggars Banquet",0.494,0.79,7,-9.131,1,0.0295,0.025,0.166,0.185,0.901,148.083,4
spotify:track:0XciPb5F3Sm9eDOfUVLDhO,"Hit the North - Part 1","The Frenz Experiment","The Fall",1988-02-29,241120,40,false,rwinj,2024-09-05T15:38:14Z,"post-punk,madchester,new wave,deathrock,proto-punk,cold wave","Beggars Banquet",0.693,0.855,2,-7.958,1,0.0415,0.00887,0.759,0.0703,0.914,112.089,4
spotify:track:2sIaC5trbnNk748yBC8Stc,"Mountain Energei","The Real New Fall Formerly 'Country On The Click'","The Fall",2003-01-01,202013,38,false,rwinj,2024-09-05T15:43:45Z,"post-punk,madchester,new wave,deathrock,proto-punk,cold wave","Cherry Red Records",0.775,0.668,2,-6.308,1,0.051,0.451,0.0214,0.131,0.653,128.05,4
spotify:track:4a4GUIjeimOUlmwHG0vDfI,"Lost in Music","The Infotainment Scan","The Fall",1993-04-19,230000,41,true,rwinj,2024-09-05T15:50:06Z,"post-punk,madchester,new wave,deathrock,proto-punk,cold wave","Cherry Red Records",0.47,0.884,7,-6.217,1,0.0727,0.0179,0.0343,0.865,0.528,125.006,4
spotify:track:1vHMqo7u3tqyxoZF5C7tGj,"L.A.","This Nation's Saving Grace","The Fall",1985-09-27,249973,33,false,rwinj,2024-09-05T15:55:01Z,"post-punk,madchester,new wave,deathrock,proto-punk,cold wave","Beggars Banquet",0.536,0.661,9,-13.617,1,0.0274,0.134,0.845,0.0755,0.808,126.82,4
spotify:track:2Qg5BiJCCdVlwjd8xV1LBp,"Runnit Back","THE FORCE","LL COOL J",2024-09-06,166173,12,false,rwinj,2024-09-11T14:47:13Z,"old school hip hop,east coast hip hop","LL COOL J, Inc.",0.594,0.934,11,-2.658,0,0.341,0.0434,0.0000122,0.264,0.703,187.99,4
spotify:track:45xBWOa6oEAk1WlVyr5QAB,"(White Man) in Hammersmith Palais","Hits Back","The Clash",2013-08-26,240560,49,false,rwinj,2024-09-11T15:17:07Z,"punk","Sony Music UK",0.692,0.694,9,-6.398,1,0.0369,0.132,0.00000588,0.0855,0.832,102.769,4
spotify:track:1zz3gyupVHNCZ3tZiboxyg,"Sighommi","Aghori Mhori Mei","The Smashing Pumpkins",2024-08-02,174557,48,false,rwinj,2024-09-12T03:34:21Z,"alternative rock,rock","Martha's Music",0.524,0.921,2,-4.869,1,0.0384,0.00000155,0.0276,0.0522,0.416,101.981,4
spotify:track:6mFkJmJqdDVQ1REhVfGgd1,"Wish You Were Here","Wish You Were Here","Pink Floyd",1975-09-12,334743,84,false,rwinj,2024-09-12T13:47:49Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.861,4
spotify:track:3uMmllZo1AfoEnVT4ENCD3,"Highway Star - Remastered 2012","Machine Head (Remastered)","Deep Purple",1972-03-25,366136,69,false,rwinj,2024-09-14T20:10:42Z,"hard rock,classic rock,rock","EMI Records Limited",0.307,0.909,9,-7.08,0,0.0574,0.135,0.0336,0.125,0.443,173.674,4
spotify:track:5jLKgUAVNJHLtuBKpB3fwu,"God Knows It's True","Deep Fried Fanclub","Teenage Fanclub",1995-01-01,293640,17,true,rwinj,2024-09-17T15:00:52Z,"power pop,jangle pop,britpop","Fire Records",0.283,0.946,2,-10.065,1,0.0669,0.0000242,0.517,0.438,0.531,131.359,4
spotify:track:6qL0KtO2n1iAcjBmYj8tB9,"Alcoholiday","Bandwagonesque","Teenage Fanclub",1991-11-19,326240,30,false,rwinj,2024-09-17T15:02:00Z,"power pop,jangle pop,britpop","DGC",0.371,0.615,8,-13.374,1,0.0297,0.0000082,0.682,0.235,0.838,110.93,4
spotify:track:4awfhElagYAbcQXto8QOHK,"So Far Gone","Deep Fried Fanclub","Teenage Fanclub",1995-01-01,197493,12,false,rwinj,2024-09-17T15:02:35Z,"power pop,jangle pop,britpop","Fire Records",0.187,0.902,9,-10.535,1,0.0696,0.000208,0.000472,0.0889,0.474,152.619,4
spotify:track:4y2WvantKl0Lb20MYdMD7D,"Smokestack Lightning","Ultramega OK (Expanded Reissue)","Soundgarden",2017-03-10,276121,35,false,rwinj,2024-09-17T15:06:31Z,"grunge,post-grunge,hard rock","Sub Pop Records",0.402,0.781,2,-5.873,1,0.03,0.000625,0.00662,0.0978,0.589,74.422,4
spotify:track:3A6Ty55vQ1NC06EiB1fi9z,"No More Heroes - 1996 Remaster","No More Heroes","The Stranglers",1977,207440,54,false,rwinj,2024-09-23T15:08:20Z,"proto-punk,new wave","Parlophone UK",0.293,0.933,0,-8.082,1,0.0701,0.000109,0.145,0.336,0.837,150.994,4
spotify:track:5xoNx4guLOeGsuFxuqTord,"The Evil Has Landed","Villains","Queens of the Stone Age",2017-08-25,390579,53,false,rwinj,2024-09-25T00:00:09Z,"stoner rock,alternative rock","Matador",0.264,0.882,7,-4.362,1,0.0791,0.00057,0.112,0.283,0.766,85.537,4
spotify:track:4vsoWZcvtvSsE0OiVvDDvX,"Harness Your Hopes - B-side","Brighten the Corners: Nicene Creedence Ed.","Pavement",2008-12-09,206946,76,false,rwinj,2024-09-26T10:10:59Z,"alternative rock,indie","Matador",0.604,0.573,2,-7.804,1,0.037,0.289,0.0406,0.133,0.581,107.862,4
spotify:track:4tBl1xhBg5PETpBvFnQmGl,"Cut Your Hair","Crooked Rain Crooked Rain","Pavement",1994-02-14,186733,60,false,rwinj,2024-09-26T10:11:35Z,"alternative rock,indie","Matador",0.472,0.735,4,-9.822,0,0.0305,0.00596,0.00124,0.166,0.643,110.809,4
spotify:track:6k9DUKMJpWvu6eFG3O64Lg,"Subterranean Homesick Blues","Bringing It All Back Home","Bob Dylan",1965-03-22,141293,64,false,rwinj,2024-09-29T14:50:48Z,"folk rock,folk,singer-songwriter,roots rock,country rock","Columbia",0.576,0.727,4,-9.973,0,0.05,0.702,0,0.324,0.751,173.854,4
