"Track","Artist","Album","Duration","Group Info"
"The Ocean - Remaster","Led Zeppelin","","4:31","Group 1 (genre: Rock/Alternative) - Position 1"
"Cut Your Hair","Pavement","","3:06","Group 1 (genre: Rock/Alternative) - Position 2"
"Highway Star - Remastered 2012","Deep Purple","","6:06","Group 1 (genre: Rock/Alternative) - Position 3"
"Trans-Europe Express - 2009 Remaster","Kraftwerk","","6:37","Group 2 (genre: Rock/Alternative) - Position 1"
"Barely Legal","The Strokes","","3:54","Group 2 (genre: Rock/Alternative) - Position 2"
"I'm No Angel","Gregg Allman","","3:42","Group 2 (genre: Rock/Alternative) - Position 3"
"The Book of Love","The Magnetic Fields","","2:42","Group 3 (era: 90s) - Position 1"
"Know Your Enemy","Rage Against The Machine","","4:54","Group 3 (era: 90s) - Position 2"
"Cherub Rock - 2011 Remaster","The Smashing Pumpkins","","4:58","Group 3 (era: 90s) - Position 3"
"God Knows It's True","Teenage Fanclub","","4:53","Group 4 (genre: Pop/Dance) - Position 1"
"Pure Morning","Placebo","","4:14","Group 4 (genre: Pop/Dance) - Position 2"
"Bye Bye Love","The Cars","","4:15","Group 4 (genre: Pop/Dance) - Position 3"
"Run - 2015 Remaster","New Order","","4:31","Group 5 (genre: New Wave) - Position 1"
"Everything Counts","Depeche Mode","","4:21","Group 5 (genre: New Wave) - Position 2"
"Pulled Up - 2005 Remaster","Talking Heads","","4:31","Group 5 (genre: New Wave) - Position 3"
"Body Electric","Sisters of Mercy","","4:18","Group 6 (genre: Rock/Alternative) - Position 1"
"No One Knows","Queens of the Stone Age","","4:38","Group 6 (genre: Rock/Alternative) - Position 2"
"One of These Nights - 2013 Remaster","Eagles","","4:51","Group 6 (genre: Rock/Alternative) - Position 3"
"It's Tricky","Run–D.M.C.","","3:02","Group 7 (era: 80s) - Position 1"
"Fresh","Kool & The Gang","","4:26","Group 7 (era: 80s) - Position 2"
"Garbageman","The Cramps","","3:37","Group 7 (era: 80s) - Position 3"
"Heart And Soul","Huey Lewis & The News","","4:13","Group 8 (genre: Pop) - Position 1"
"Red Right Hand","Nick Cave & The Bad Seeds","","6:10","Group 8 (genre: Pop) - Position 2"
"She Drives Me Crazy","Fine Young Cannibals","","3:35","Group 8 (genre: Pop) - Position 3"
"Voodoo Lady","Ween","","3:48","Group 9 (era: 90s) - Position 1"
"Step On - 2007 Remaster","Happy Mondays","","5:18","Group 9 (era: 90s) - Position 2"
"Burden In My Hand","Soundgarden","","4:50","Group 9 (era: 90s) - Position 3"
"Theme From Sparta F.C.","The Fall","","3:50","Group 10 (genre: Punk) - Position 1"
"(White Man) in Hammersmith Palais","The Clash","","4:00","Group 10 (genre: Punk) - Position 2"
"That's Entertainment","The Jam","","3:32","Group 10 (genre: Punk) - Position 3"
"One (Remastered)","Metallica","","7:26","Group 11 (genre: Metal) - Position 1"
"Nothin' But A Good Time","Poison","","3:43","Group 11 (genre: Metal) - Position 2"
"Eruption - 2015 Remaster","Van Halen","","1:42","Group 11 (genre: Metal) - Position 3"
"Ripeness - Alternative Version","Echo & the Bunnymen","","4:42","Group 12 (genre: New Wave) - Position 1"
"Personal Jesus - Single Version","Depeche Mode","","3:44","Group 12 (genre: New Wave) - Position 2"
"Space Age Love Song","A Flock Of Seagulls","","3:47","Group 12 (genre: New Wave) - Position 3"
"A Forest - 2006 Remaster","The Cure","","5:54","Group 13 (pace: Low) - Position 1"
"House We Used to Live In","The Smithereens","","4:04","Group 13 (pace: Low) - Position 2"
"Company Culture","Lambrini Girls","","3:02","Group 13 (pace: Low) - Position 3"
"Naive","The Kooks","","3:23","Group 14 (genre: Rock/Alternative) - Position 1"
"Don't Believe A Word","Thin Lizzy","","2:17","Group 14 (genre: Rock/Alternative) - Position 2"
"Subterranean Homesick Blues","Bob Dylan","","2:21","Group 14 (genre: Rock/Alternative) - Position 3"
"The Evil Has Landed","Queens of the Stone Age","","6:30","Group 15 (genre: Rock/Alternative) - Position 1"
"Baby Strange","T. Rex","","3:06","Group 15 (genre: Rock/Alternative) - Position 2"
"12:51","The Strokes","","2:33","Group 15 (genre: Rock/Alternative) - Position 3"
"Waiting for an Alibi","Thin Lizzy","","3:29","Group 16 (genre: Rock/Alternative) - Position 1"
"Ramble On - 1990 Remaster","Led Zeppelin","","4:23","Group 16 (genre: Rock/Alternative) - Position 2"
"Just Because","Jane's Addiction","","3:51","Group 16 (genre: Rock/Alternative) - Position 3"
"High Hopes","Pink Floyd","","8:30","Group 17 (genre: Rock/Alternative) - Position 1"
"Last Night On Earth","U2","","4:45","Group 17 (genre: Rock/Alternative) - Position 2"
"Harness Your Hopes - B-side","Pavement","","3:26","Group 17 (genre: Rock/Alternative) - Position 3"
"One Way Out - Live At The Final Fillmore East Concert 1971","Allman Brothers Band","","4:56","Group 18 (genre: Rock/Alternative) - Position 1"
"Unbelievers","Vampire Weekend","","3:22","Group 18 (genre: Rock/Alternative) - Position 2"
"How Long","Ace","","3:24","Group 18 (genre: Rock/Alternative) - Position 3"
"The Globe","Big Audio Dynamite","","6:04","Group 19 (genre: New Wave) - Position 1"
"No New Tale to Tell","Love and Rockets","","3:24","Group 19 (genre: New Wave) - Position 2"
"I Still Believe (Great Design)","The Call","","5:31","Group 19 (genre: New Wave) - Position 3"
"Mistadobalina","Del The Funky Homosapien","","4:13","Group 20 (genre: Pop) - Position 1"
"Synchronicity I - Remastered 2003","The Police","","3:23","Group 20 (genre: Pop) - Position 2"
"Omegaman","The Police","","2:47","Group 20 (genre: Pop) - Position 3"
"New Fang","Them Crooked Vultures","","3:48","Group 21 (genre: Rock/Alternative) - Position 1"
"The Lost Art Of Keeping A Secret","Queens of the Stone Age","","3:36","Group 21 (genre: Rock/Alternative) - Position 2"
"You Only Live Once","The Strokes","","3:09","Group 21 (genre: Rock/Alternative) - Position 3"
"Halfway There","Soundgarden","","3:16","Group 22 (era: 2010s) - Position 1"
"Apocalypse Dreams","Tame Impala","","5:56","Group 22 (era: 2010s) - Position 2"
"Lay It On The Line","Triumph","","4:06","Group 22 (era: 2010s) - Position 3"
"I'd Do Anything For Love (But I Won't Do That)","Meat Loaf","","11:58","Group 23 (genre: Pop) - Position 1"
"Suspicious Minds","Fine Young Cannibals","","3:57","Group 23 (genre: Pop) - Position 2"
"Doctor Worm","They Might Be Giants","","3:01","Group 23 (genre: Pop) - Position 3"
"Dead End Friends","Them Crooked Vultures","","3:15","Group 24 (genre: Rock/Alternative) - Position 1"
"Love Is The Drug","Roxy Music","","4:08","Group 24 (genre: Rock/Alternative) - Position 2"
"Bargain","The Who","","5:33","Group 24 (genre: Rock/Alternative) - Position 3"
"Whipping Post","Allman Brothers Band","","5:17","Group 25 (genre: Rock/Alternative) - Position 1"
"Debaser","Pixies","","2:51","Group 25 (genre: Rock/Alternative) - Position 2"
"Used To Be - 50th Anniversary Edition","Rory Gallagher","","5:07","Group 25 (genre: Rock/Alternative) - Position 3"
"Breaking the Law","Judas Priest","","2:33","Group 26 (genre: Metal) - Position 1"
"Kickstart My Heart","Mötley Crüe","","4:42","Group 26 (genre: Metal) - Position 2"
"D.O.A. - 2015 Remaster","Van Halen","","4:08","Group 26 (genre: Metal) - Position 3"
"Turn The Page","Metallica","","6:06","Group 27 (genre: Metal) - Position 1"
"Toxicity","System Of A Down","","3:38","Group 27 (genre: Metal) - Position 2"
"Chop Suey!","System Of A Down","","3:30","Group 27 (genre: Metal) - Position 3"
"The Day That Never Comes","Metallica","","7:56","Group 28 (genre: Metal) - Position 1"
"Cancelled","Mötley Crüe","","4:47","Group 28 (genre: Metal) - Position 2"
"Same Ol' Situation (S.O.S.)","Mötley Crüe","","4:12","Group 28 (genre: Metal) - Position 3"
"U Should Not Be Doing That","Amyl and The Sniffers","","3:26","Group 29 (genre: Riot grrrl) - Position 1"
"The Ick","Panic Shack","","2:24","Group 29 (genre: Riot grrrl) - Position 2"
"Bright Yellow Gun","Throwing Muses","","3:43","Group 29 (genre: Riot grrrl) - Position 3"
"The Three Sunrises","U2","","3:47","Group 30 (genre: Rock/Alternative) - Position 1"
"Wish You Were Here","Pink Floyd","","5:34","Group 30 (genre: Rock/Alternative) - Position 2"
"Sighommi","The Smashing Pumpkins","","2:54","Group 30 (genre: Rock/Alternative) - Position 3"
"The Way You Used To Do","Queens of the Stone Age","","4:34","Group 31 (genre: Rock/Alternative) - Position 1"
"Christine’s Tune","The Flying Burrito Brothers","","3:02","Group 31 (genre: Rock/Alternative) - Position 2"
"Move Me on Down the Line (2005 Remaster)","ZZ Top","","2:31","Group 31 (genre: Rock/Alternative) - Position 3"
"Bad Penny","Rory Gallagher","","4:05","Group 32 (genre: Rock/Alternative) - Position 1"
"Hey Tonight","Creedence Clearwater Revival","","2:42","Group 32 (genre: Rock/Alternative) - Position 2"
"I Will Follow","U2","","3:35","Group 32 (genre: Rock/Alternative) - Position 3"
"Waste A Moment","Kings of Leon","","3:03","Group 33 (genre: Pop) - Position 1"
"Roxanne","The Police","","3:11","Group 33 (genre: Pop) - Position 2"
"Who Can It Be Now?","Men At Work","","3:21","Group 33 (genre: Pop) - Position 3"
"Molly's Chambers","Kings of Leon","","2:14","Group 34 (genre: Pop) - Position 1"
"Conversation Lags","Wussy","","3:05","Group 34 (genre: Pop) - Position 2"
"Sweet Disaster","DREAMERS","","3:25","Group 34 (genre: Pop) - Position 3"
"Fix Me Now","Garbage","","4:43","Group 35 (genre: Pop) - Position 1"
"Helpless Automaton","Men At Work","","3:21","Group 35 (genre: Pop) - Position 2"
"Teutonic Wine","The Dandy Warhols","","3:16","Group 35 (genre: Pop) - Position 3"
"The Headmaster Ritual (Live)","Johnny Marr","","4:44","Group 36 (genre: Pop) - Position 1"
"Airborne","Wussy","","3:16","Group 36 (genre: Pop) - Position 2"
"Ripple","Good Neighbours","","2:41","Group 36 (genre: Pop) - Position 3"
"Dirty Blvd.","Lou Reed","","3:29","Group 37 (genre: Rock/Alternative) - Position 1"
"I Sat by the Ocean","Queens of the Stone Age","","3:55","Group 37 (genre: Rock/Alternative) - Position 2"
"Ride Captain Ride","Blues Image","","3:45","Group 37 (genre: Rock/Alternative) - Position 3"
"You Got Me Searching","Jack White","","3:38","Group 38 (genre: Rock/Alternative) - Position 1"
"Cuts You Up","Peter Murphy","","5:27","Group 38 (genre: Rock/Alternative) - Position 2"
"Back Where You Belong","38 Special","","4:29","Group 38 (genre: Rock/Alternative) - Position 3"
"Mountain Energei","The Fall","","3:22","Group 39 (genre: Punk) - Position 1"
"No More Heroes - 1996 Remaster","The Stranglers","","3:27","Group 39 (genre: Punk) - Position 2"
"Walk on By","The Stranglers","","6:22","Group 39 (genre: Punk) - Position 3"
"Ride Like the Wind","Christopher Cross","","4:35","Group 40 (genre: Rock/Alternative) - Position 1"
"Incinerate","Sonic Youth","","4:55","Group 40 (genre: Rock/Alternative) - Position 2"
"Rocket Queen","Guns N' Roses","","6:13","Group 40 (genre: Rock/Alternative) - Position 3"
"Bankrupt On Selling","Modest Mouse","","2:53","Group 41 (genre: Rock/Alternative) - Position 1"
"You Only Live Once","The Strokes","","3:09","Group 41 (genre: Rock/Alternative) - Position 2"
